"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.scalameta.benchmarks.Micro.ExtraLarge.parse","avgt",1,20,90.454864,2.397599,"ms/op"
"org.scalameta.benchmarks.Micro.ExtraLarge.transform","avgt",1,20,129.178404,9.180088,"ms/op"
