"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.scalameta.benchmarks.Micro.ExtraLarge.parse","avgt",1,20,121.928738,4.065895,"ms/op"
"org.scalameta.benchmarks.Micro.ExtraLarge.transform","avgt",1,20,209.675288,32.952289,"ms/op"
